line,temperature,pressure,power_consumption,yield_rate,defect_count,thickness,cycle_time
D,360.7,1.92,482.5,86.67,46,308.9,42.9
A,369.1,2.6,448.5,71.26,41,328.9,47.9
B,334.2,2.19,1422.7,83.72,63,294.0,45.3
D,366.0,2.05,261.8,71.19,43,302.3,30.1
C,302.9,2.54,1510.8,84.99,86,287.1,35.1
A,350.6,3.24,298.5,80.82,50,294.9,46.9
B,372.4,2.5,366.0,75.07,41,300.8,76.1
B,328.4,2.89,339.1,94.1,65,307.3,33.8
B,354.3,2.57,674.1,91.8,48,307.4,30.3
B,359.0,2.44,306.0,88.96,46,312.4,57.2
A,323.3,2.69,469.6,80.2,71,291.1,51.9
C,383.9,2.26,140.3,62.79,35,320.8,111.4
C,359.6,1.89,791.1,86.99,46,306.7,38.6
D,299.7,1.96,354.9,93.68,89,286.9,38.3
A,352.7,2.43,688.9,77.21,50,306.4,56.2
D,393.6,2.64,813.9,91.18,32,318.5,32.3
A,349.9,2.58,634.7,91.28,46,304.8,85.1
B,330.5,2.23,919.9,95.96,54,310.5,32.4
D,333.7,2.49,1301.1,95.88,61,289.2,90.7
B,345.2,2.28,300.5,69.39,49,304.4,36.1
A,313.6,1.99,328.4,85.76,77,295.8,34.7
A,392.1,1.76,450.2,84.44,36,308.5,31.9
B,377.7,2.35,785.4,93.82,41,295.6,55.1
C,382.3,2.8,1014.9,85.36,39,306.2,42.6
D,304.9,2.46,417.2,86.94,88,284.2,30.6
C,353.9,1.91,949.6,88.87,53,301.2,90.4
D,382.3,2.93,737.2,73.81,40,312.0,48.6
C,321.6,2.18,220.8,85.81,82,294.9,45.0
D,347.8,1.55,966.7,89.81,50,301.3,34.0
A,317.0,2.44,639.9,83.61,78,287.7,30.5
D,375.0,2.92,958.7,87.51,42,311.4,55.4
B,343.6,2.55,139.4,83.39,57,297.7,73.0
D,347.2,2.05,273.0,93.0,51,316.6,45.2
A,316.1,2.08,1133.6,67.78,71,291.4,55.8
C,396.4,2.93,369.7,73.29,32,315.5,51.4
C,351.5,2.23,1977.0,83.44,45,306.6,91.1
D,373.7,1.96,601.7,78.56,37,306.1,62.3
C,361.5,2.02,252.2,86.22,39,311.3,70.0
B,322.7,2.34,144.4,76.63,68,289.4,36.6
B,300.8,3.01,882.1,82.47,99,300.0,52.7
B,344.3,2.75,567.5,89.72,46,296.6,55.2
A,383.2,2.53,117.1,89.26,36,310.2,50.8
A,290.9,3.46,203.5,95.51,132,281.5,54.7
A,408.4,2.7,195.7,80.13,30,329.1,32.9
B,375.0,3.59,1667.4,77.63,42,318.2,38.8
D,355.7,2.31,1366.8,92.7,53,314.6,44.2
D,346.5,2.49,135.1,75.51,50,303.1,56.9
A,375.8,2.18,790.0,79.01,39,327.2,48.4
A,313.4,2.53,613.2,93.22,78,285.8,37.6
A,363.3,2.4,411.3,94.39,41,312.0,33.6
A,359.2,3.73,875.2,78.95,46,309.0,32.0
A,403.9,2.39,389.7,70.48,37,318.2,42.1
B,339.0,2.93,1283.5,87.94,55,307.9,42.4
B,351.3,2.48,119.4,83.4,47,312.1,31.3
B,348.0,2.74,922.7,83.0,49,309.8,33.9
B,334.5,2.62,158.8,72.12,57,305.7,67.5
B,394.3,2.67,1279.5,93.43,35,316.3,65.1
C,320.8,2.49,356.5,73.95,73,299.2,40.1
D,304.5,1.81,480.0,83.92,101,299.2,47.7
B,357.3,2.85,174.8,70.33,46,312.6,81.9
A,328.3,1.74,492.7,95.32,64,294.9,35.5
A,357.6,3.07,1092.2,93.62,45,317.0,54.6
A,369.0,2.71,491.5,88.65,43,310.6,32.2
B,354.4,2.6,352.7,80.44,47,303.6,46.3
A,350.7,2.51,336.5,89.09,49,300.0,32.9
B,288.1,3.02,241.9,86.18,128,284.4,73.3
A,366.8,3.03,894.1,68.02,42,310.4,34.4
C,355.9,1.88,340.8,80.22,48,308.9,54.7
A,406.2,1.56,367.9,77.4,26,319.1,30.2
B,384.1,2.73,565.8,80.55,34,312.9,35.9
A,305.5,2.5,952.5,82.32,81,301.1,32.0
A,381.8,2.25,880.1,68.74,42,309.6,42.8
D,311.0,2.54,331.9,91.87,83,294.6,48.5
C,375.0,2.1,746.9,83.14,41,300.9,66.8
A,393.6,2.69,1244.6,93.48,36,323.8,37.4
C,406.0,2.16,2407.7,92.11,30,326.3,33.1
C,338.1,2.43,535.2,62.24,54,305.3,96.6
B,371.2,2.69,421.7,83.94,41,315.3,57.7
B,380.3,2.25,188.0,92.83,39,302.3,31.3
D,364.1,2.31,1950.9,74.68,37,312.7,31.0
A,299.9,2.45,214.3,82.87,91,272.6,52.2
B,354.6,2.6,128.7,64.77,45,317.1,91.8
B,367.1,3.04,778.0,92.84,45,313.8,37.3
C,350.0,2.32,849.9,81.43,49,316.6,32.9
D,324.2,2.79,1552.3,87.42,65,319.8,73.9
D,344.0,2.72,1616.4,85.01,55,309.1,37.9
C,377.0,2.61,864.7,73.65,37,323.2,57.3
D,361.8,2.84,453.6,91.24,46,302.3,55.9
C,364.0,3.12,324.9,84.44,40,328.2,51.8
C,342.5,2.53,106.0,75.24,52,298.2,41.5
D,362.8,2.77,369.4,74.57,43,310.3,34.7
A,286.8,2.27,663.3,86.49,155,272.6,36.9
C,348.7,2.36,959.3,94.9,53,309.2,43.4
C,338.6,2.09,384.5,75.53,55,298.5,32.9
D,350.8,2.38,1244.3,93.52,51,304.1,54.4
D,314.8,2.61,161.7,75.45,72,281.0,83.1
D,361.1,2.49,210.0,82.01,44,322.0,42.0
D,407.7,2.4,137.4,82.69,32,322.3,37.7
B,352.4,2.4,770.2,82.04,48,309.4,52.6
A,351.4,2.45,161.1,74.72,53,313.0,38.3
A,425.2,2.45,729.0,87.69,28,326.6,63.7
B,321.6,3.12,915.9,75.73,72,289.9,35.6
B,364.8,2.48,2593.0,83.22,48,320.2,34.7
B,397.4,2.09,1424.3,82.86,34,319.4,44.1
B,338.3,3.24,648.4,91.61,50,311.4,97.9
D,375.6,2.48,128.9,72.16,39,326.5,44.4
B,355.0,2.43,147.1,76.05,49,310.3,49.4
D,317.8,2.14,514.2,86.59,74,304.8,42.5
D,345.1,2.19,523.5,73.59,49,310.9,50.5
B,349.0,3.13,248.6,77.83,52,309.9,35.7
B,330.9,2.14,158.2,94.14,59,285.9,34.9
C,301.8,2.2,149.2,95.54,102,279.8,35.6
C,337.6,2.74,345.2,78.09,55,304.4,51.8
B,305.1,1.88,562.5,89.74,83,294.6,43.0
A,366.3,2.91,118.1,78.29,44,301.4,35.0
A,366.5,2.74,508.0,86.69,45,317.1,139.2
A,311.8,2.44,477.5,80.66,69,287.8,39.5
A,352.5,2.66,1281.0,90.17,48,299.2,72.5
A,309.7,3.13,116.5,85.64,71,291.0,40.9
C,339.1,2.82,391.4,81.42,54,298.2,35.0
D,329.9,2.85,432.5,77.03,60,293.4,44.6
C,364.4,2.71,922.8,89.18,42,305.5,47.9
D,301.4,2.42,162.4,76.26,98,280.4,48.5
C,379.5,2.46,122.1,75.63,37,317.3,34.1
C,386.8,2.58,1219.5,92.76,37,300.8,50.4
B,345.7,2.75,719.7,93.67,60,305.6,30.2
B,309.6,2.33,157.0,81.35,88,284.4,31.9
D,287.2,2.71,335.3,91.32,109,288.8,34.8
D,382.9,2.4,152.3,80.7,34,321.5,103.0
B,409.5,2.6,665.0,81.31,31,322.9,47.2
A,351.3,2.53,1616.5,88.18,47,296.9,61.0
C,315.1,2.66,1597.6,83.33,73,298.1,37.1
A,317.1,2.65,185.3,80.04,78,295.6,32.3
A,385.4,2.5,393.7,93.87,34,315.1,49.1
D,355.1,2.17,185.2,92.93,52,313.8,32.9
B,320.9,3.05,885.0,71.34,64,303.2,49.8
C,419.0,2.32,282.0,82.39,32,334.2,31.8
D,381.4,2.97,652.8,96.72,37,316.9,74.1
B,366.5,2.03,553.0,86.76,45,313.4,41.6
B,333.3,2.06,851.2,84.47,65,300.5,45.2
A,387.2,2.94,155.0,72.24,41,324.4,49.3
B,376.5,3.2,792.3,79.52,42,308.9,31.6
C,346.8,2.73,503.6,79.14,52,296.3,51.2
B,382.7,1.94,2824.3,93.14,39,314.8,42.8
A,381.4,2.96,517.3,92.78,35,319.7,39.1
A,358.2,2.13,372.3,86.68,49,307.4,41.9
B,315.6,2.06,770.7,86.68,89,303.8,72.6
B,319.4,2.56,386.0,82.04,72,292.8,38.4
C,302.5,2.3,424.6,93.88,101,290.6,45.0
B,389.7,2.83,1603.3,62.78,36,315.3,67.6
A,306.2,2.71,604.2,83.12,95,288.7,54.0
B,351.0,2.36,203.3,83.31,49,310.8,30.1
D,302.3,2.75,263.2,76.31,95,296.6,63.6
A,400.5,3.39,212.7,88.25,33,312.1,30.4
C,315.1,2.39,1367.3,92.46,75,296.8,66.9
B,359.7,2.64,370.3,63.41,44,303.7,33.6
C,303.0,2.74,838.7,92.21,80,294.3,45.7
A,376.1,2.73,1040.7,96.56,41,320.1,37.4
D,382.5,3.34,461.8,67.18,37,309.9,34.1
C,350.5,2.96,487.6,84.68,53,311.6,44.2
D,348.0,2.11,397.6,75.8,55,308.3,40.3
A,374.3,2.12,243.2,76.9,36,319.6,45.3
C,331.7,2.45,248.1,83.22,60,300.3,67.1
C,382.7,2.73,1030.7,78.75,40,325.8,40.3
B,358.9,2.91,368.5,80.28,45,301.7,107.1
B,302.8,2.91,683.4,93.76,89,285.5,62.0
C,405.4,2.49,1082.2,89.21,27,313.6,48.8
A,355.5,2.74,171.9,79.35,49,298.9,66.0
C,339.9,3.14,1387.5,85.15,59,307.6,91.2
A,355.0,2.71,971.8,76.89,44,309.7,92.1
A,328.4,2.65,344.9,73.6,63,302.5,33.6
C,345.4,2.89,611.9,88.68,47,317.3,37.8
A,373.7,2.59,390.8,75.17,40,322.3,42.0
D,370.6,2.78,604.4,87.09,41,316.5,35.1
D,368.6,3.25,976.2,71.29,35,318.9,38.4
C,332.0,2.04,404.8,84.65,69,306.3,57.9
D,324.2,2.43,228.7,85.97,67,296.0,72.3
D,361.6,2.27,583.3,77.86,43,315.2,38.8
A,373.1,2.24,1183.2,97.25,40,303.9,49.9
D,328.0,2.28,600.2,85.01,68,299.4,35.3
A,343.2,1.65,2782.2,90.43,54,307.2,36.0
B,361.8,2.33,537.1,84.8,38,321.0,35.1
B,347.1,2.93,820.8,86.06,50,309.9,32.9
C,384.7,2.01,281.4,90.25,40,321.6,34.8
A,310.8,1.81,118.1,76.9,80,310.5,50.3
A,306.4,2.27,147.6,80.77,92,298.0,55.5
C,382.9,2.19,266.4,78.64,41,320.9,63.0
B,368.5,2.84,1779.1,85.97,44,313.0,36.2
C,352.7,3.2,1008.0,86.04,46,302.2,83.3
C,340.0,3.39,156.3,74.79,61,304.7,34.6
A,364.1,2.21,158.7,80.54,46,315.8,34.7
A,355.7,2.74,1297.4,80.58,49,292.2,80.5
C,359.0,2.49,172.2,75.98,45,303.6,36.0
B,348.0,2.67,724.7,88.38,47,308.3,88.2
A,366.1,2.73,840.3,91.0,41,307.5,33.2
B,377.6,2.47,387.8,92.2,39,311.0,34.4
B,377.1,2.12,454.9,94.19,40,304.2,32.1
A,363.7,2.19,194.6,76.26,45,301.5,32.1
B,349.9,2.58,727.7,81.81,49,316.2,47.0
C,363.3,2.65,200.2,88.35,41,305.6,68.4
B,385.9,2.25,362.3,87.35,34,322.5,43.9
D,345.4,2.41,407.8,84.21,56,301.3,39.1
A,341.8,2.97,831.2,82.1,50,303.3,65.5
B,364.8,2.51,1064.5,80.92,45,311.3,79.2
C,372.1,2.69,747.0,90.74,43,321.4,39.6
C,347.0,3.1,175.8,78.16,43,292.7,32.7
C,363.5,2.56,296.9,84.02,44,302.5,37.1
C,324.8,2.32,845.8,89.05,72,296.7,55.6
C,349.7,2.31,152.4,69.23,48,300.7,37.9
A,396.6,2.75,370.0,82.95,32,323.8,48.3
C,368.2,1.9,951.4,89.17,42,310.8,44.2
C,330.6,3.1,314.0,75.39,60,294.5,60.2
D,334.6,2.97,140.1,82.63,62,299.7,39.6
C,312.7,1.96,265.8,84.08,83,294.0,128.1
C,398.7,2.3,1064.3,79.83,31,323.1,36.7
B,320.2,2.3,145.0,67.84,72,286.7,32.1
D,274.1,2.72,436.0,82.22,141,278.4,62.9
D,307.8,2.2,132.9,84.13,82,286.4,44.0
C,351.6,1.55,326.2,80.97,48,305.9,54.4
C,328.5,2.99,609.2,66.01,59,279.6,30.2
A,353.9,1.58,2033.0,88.33,41,299.8,160.5
C,360.2,3.18,745.0,92.1,44,306.0,32.6
C,331.3,2.35,2066.6,87.57,57,289.3,35.5
C,322.4,2.49,403.2,83.71,72,290.8,51.3
A,377.3,2.39,607.5,78.21,40,318.4,32.9
C,359.0,2.32,491.4,91.37,44,315.8,49.8
A,269.7,2.53,272.6,74.41,200,297.5,43.3
C,303.9,2.39,658.2,91.86,94,292.0,31.7
A,296.2,2.16,1327.1,84.61,116,282.6,36.5
C,345.2,2.74,749.1,96.68,52,289.0,37.9
A,356.1,2.41,473.2,68.11,40,304.4,35.4
A,344.9,3.29,1245.6,93.49,56,311.8,37.2
C,331.1,2.15,1144.1,88.47,58,299.0,37.4
A,380.7,2.7,822.7,93.31,40,325.0,55.7
C,359.6,2.29,655.5,81.55,46,320.5,49.3
D,322.6,2.25,1140.3,97.37,67,296.6,47.5
D,324.6,2.49,370.3,79.31,71,289.5,76.0
A,327.1,2.76,135.1,56.22,74,302.3,45.4
D,339.6,2.82,222.0,82.66,53,314.2,47.2
B,351.1,2.44,998.5,87.68,52,311.8,57.8
D,362.4,3.13,285.7,88.45,50,302.2,92.9
C,325.3,2.83,967.0,84.11,69,285.8,53.7
A,309.3,2.62,456.5,94.51,107,283.4,46.0
B,361.8,2.78,407.3,85.43,45,323.4,35.2
B,374.9,2.1,131.1,73.11,45,321.7,38.7
C,401.3,2.96,431.0,92.66,37,313.0,116.6
B,362.1,1.98,180.0,77.02,42,315.2,100.7
C,328.1,2.67,1119.1,76.2,79,305.5,53.6
C,368.3,2.47,276.8,76.45,45,305.4,96.2
D,345.5,1.93,271.4,73.33,48,301.3,40.6
D,309.6,2.01,344.5,83.44,87,278.4,47.2
B,348.5,2.49,177.5,94.99,54,309.3,57.6
C,358.5,2.46,213.6,87.22,46,320.7,31.1
D,393.0,2.2,602.8,83.22,33,325.3,57.9
D,352.1,2.34,1776.1,92.34,49,301.2,43.4
A,325.5,1.91,1120.5,83.36,61,289.6,47.7
B,293.4,1.92,275.0,86.8,115,291.3,35.5
B,313.1,2.37,937.5,90.37,78,304.7,58.7
B,320.9,1.77,381.5,80.44,71,298.7,40.9
A,400.0,2.41,1012.3,86.99,36,316.3,71.8
B,344.3,2.68,861.3,82.99,55,307.4,31.9
C,347.3,2.42,2455.0,93.58,52,307.2,45.3
B,383.0,2.69,327.1,91.67,36,312.1,42.1
C,368.1,2.2,436.0,86.75,43,308.3,61.5
A,342.1,1.69,1555.4,84.8,48,305.7,101.3
D,384.4,2.71,904.8,90.87,37,325.6,49.5
D,329.5,2.38,1257.9,90.28,61,295.1,33.2
C,358.5,2.05,587.7,70.7,46,310.6,55.3
D,312.3,2.35,194.1,95.0,85,299.5,93.7
A,357.8,2.18,366.3,91.23,43,305.5,55.0
C,380.5,2.81,123.4,71.46,37,312.8,32.0
A,376.1,2.11,385.2,71.98,37,305.5,65.8
B,377.1,2.15,121.2,70.41,40,314.1,32.4
B,436.6,2.47,1594.4,75.14,29,335.3,34.8
B,342.0,2.5,241.0,72.7,52,305.1,46.6
B,322.9,2.39,510.6,82.18,75,296.4,52.6
C,363.7,1.68,102.7,88.84,40,306.9,33.2
B,323.6,1.84,343.7,96.6,61,282.9,56.5
D,316.0,2.55,1709.3,78.72,73,288.8,74.9
C,342.4,2.04,1090.2,75.4,45,302.1,64.8
A,409.4,2.7,646.2,87.37,35,319.1,31.5
B,370.7,1.56,885.4,79.09,37,306.5,52.1
D,361.4,2.29,532.6,79.22,49,304.5,71.7
B,299.8,2.0,125.9,88.61,134,279.3,31.6
B,331.3,1.9,590.9,58.89,63,298.4,39.9
C,393.0,1.87,371.8,80.49,35,316.9,43.6
B,341.9,2.37,794.9,96.58,50,310.4,35.5
A,415.8,2.19,246.0,88.51,32,332.0,51.7
B,363.4,2.24,339.1,89.03,42,312.0,80.0
A,345.5,2.02,110.5,76.61,51,315.7,33.6
A,340.6,2.83,1122.2,85.92,51,303.0,51.6
A,348.0,2.48,413.4,87.03,49,314.3,49.8
B,306.4,2.33,450.7,68.62,90,293.0,92.5
B,379.2,2.74,730.2,87.2,36,302.7,38.9
D,363.3,2.5,353.0,83.49,50,307.8,47.5
B,342.3,2.17,423.5,72.38,49,292.1,30.9
C,346.7,2.61,106.1,89.41,51,296.9,82.8
A,374.3,3.15,520.5,73.6,41,308.5,31.6
A,410.9,2.37,2354.7,56.2,29,304.8,33.0
D,395.9,2.67,102.1,86.88,32,312.1,44.7
C,355.6,2.95,419.7,80.07,47,301.2,73.6
A,325.3,2.53,2147.5,82.51,65,283.8,68.9
B,304.0,2.88,440.6,82.9,78,283.9,33.2
B,353.7,2.39,547.4,87.56,47,314.6,38.4
D,326.5,1.55,327.0,87.57,61,295.5,31.6
A,354.7,1.95,680.3,95.14,48,314.0,57.2
B,358.7,2.71,601.8,78.68,50,301.9,39.2
C,371.5,3.18,208.7,89.13,40,305.4,123.5
D,314.9,2.18,730.0,72.44,78,288.4,44.7
D,323.4,3.11,995.3,87.02,73,282.6,31.9
A,340.6,2.05,1170.2,88.79,50,301.0,35.5
C,357.8,2.33,150.2,94.08,47,312.2,45.9
C,356.0,2.47,964.1,89.94,43,306.6,72.6
C,427.3,2.67,1196.2,90.15,26,318.0,74.8
D,282.2,2.71,866.5,85.4,186,285.2,36.4
D,383.3,2.46,545.1,74.43,36,313.9,47.9
A,381.8,3.48,189.8,87.43,40,317.2,39.8
A,322.5,2.61,1260.1,81.32,58,289.1,30.1
C,335.8,2.23,371.1,87.93,60,300.0,75.9
A,402.8,3.21,163.2,80.77,32,326.9,41.6
A,331.3,2.59,1738.8,95.34,61,299.9,48.1
B,331.8,3.01,976.6,83.14,66,307.5,30.8
D,353.6,1.85,3079.1,88.22,44,291.6,40.6
A,365.4,2.56,158.2,66.79,45,306.7,32.8
C,379.9,2.37,701.2,76.3,36,320.3,40.5
A,381.2,2.29,2886.8,87.85,41,327.9,38.6
A,373.5,2.57,481.0,79.67,40,305.2,31.4
B,292.8,2.95,817.8,83.34,113,278.4,61.6
A,348.8,2.44,793.0,74.09,51,299.4,42.0
D,369.9,3.07,118.8,81.44,42,302.7,48.1
D,370.5,2.01,1176.2,76.73,45,311.7,43.8
C,328.7,2.63,863.1,83.94,59,304.5,30.4
A,319.3,2.71,269.9,71.27,65,293.6,37.6
B,317.3,1.55,448.1,68.69,72,298.9,48.4
A,364.0,2.69,682.4,70.91,41,312.2,49.4
A,380.2,2.4,379.1,84.95,39,321.8,51.1
B,354.3,2.66,327.3,76.02,46,309.5,66.0
C,317.9,2.98,191.8,67.53,69,290.5,49.6
A,355.4,2.59,1482.6,91.03,43,309.9,56.5
A,321.4,2.39,1067.8,92.96,64,288.0,68.6
D,327.9,1.9,529.2,88.38,64,307.5,36.0
B,338.9,2.47,1054.5,87.61,47,308.3,36.9
D,326.0,3.08,949.0,96.15,57,311.1,53.5
D,316.1,1.26,171.7,72.2,75,299.6,59.4
B,396.5,2.97,530.3,78.12,33,327.1,77.0
A,293.4,2.75,2247.7,93.03,118,297.8,30.6
C,332.3,2.48,850.7,66.23,63,303.4,57.9
A,343.5,2.74,162.6,71.44,56,304.5,35.1
A,386.8,2.96,624.7,90.22,38,314.7,31.6
C,358.8,2.32,398.5,85.88,45,304.1,39.7
B,341.6,2.54,868.9,90.19,58,292.3,73.0
A,327.8,2.5,234.2,93.98,79,305.4,67.8
C,384.4,3.12,983.9,86.38,37,321.9,42.3
C,325.8,2.5,1354.4,86.13,72,298.9,33.5
A,356.3,2.56,528.7,88.35,44,310.2,37.7
A,344.9,2.88,295.3,90.19,57,298.7,34.2
A,364.4,2.7,813.3,94.07,40,292.7,73.8
B,397.1,2.59,1799.7,93.24,33,311.1,31.3
C,371.2,1.97,527.0,91.87,44,312.8,30.2
C,346.1,2.33,871.7,91.68,51,299.0,30.2
C,400.3,2.64,341.9,89.87,33,317.7,39.9
A,397.4,2.55,496.3,82.24,32,319.5,77.6
A,384.2,2.44,125.0,79.23,31,330.2,43.0
A,358.5,2.78,149.8,71.33,42,304.5,32.4
A,326.9,3.36,1848.9,95.13,72,299.2,55.3
A,279.0,2.53,1881.2,85.54,170,281.0,34.0
B,356.3,2.76,1604.0,85.92,42,308.9,35.0
A,373.2,2.42,1116.8,91.42,38,320.6,31.6
C,309.9,2.05,414.3,75.69,86,297.2,36.9
C,362.5,2.38,333.7,89.29,43,313.1,35.7
B,336.6,2.58,631.2,94.61,54,291.8,81.9
A,365.3,2.48,106.8,75.04,44,318.5,89.3
D,331.5,2.54,1327.6,86.83,55,288.6,41.2
D,328.2,1.81,212.9,84.25,63,297.4,37.2
A,348.2,2.31,1806.4,80.72,48,302.5,40.4
C,314.7,1.86,176.1,82.18,67,295.0,43.1
D,378.8,2.62,863.1,92.18,39,316.5,34.9
B,350.6,2.49,498.9,82.94,45,307.3,90.7
B,315.7,2.42,660.7,93.93,68,293.2,115.8
B,331.5,1.9,407.2,64.64,63,309.3,53.6
B,367.7,2.44,106.3,77.21,44,298.5,46.4
B,341.0,3.08,610.9,90.3,56,288.5,59.8
D,371.3,2.28,801.9,61.87,42,310.1,35.4
C,320.1,2.54,501.6,76.39,70,296.6,33.8
A,341.6,2.58,186.0,58.36,54,298.7,33.6
B,347.8,1.89,182.2,71.04,56,302.7,38.4
C,416.8,1.9,100.9,74.68,31,325.9,94.9
A,328.2,1.93,276.4,83.15,60,296.7,39.1
B,368.8,2.65,108.6,90.18,44,314.9,37.8
D,364.1,2.99,115.3,69.36,43,319.4,40.1
B,402.4,3.2,228.0,78.39,28,325.2,41.5
A,390.8,2.44,1849.4,84.76,34,306.7,38.7
A,336.1,2.94,1125.0,94.96,60,284.3,39.5
B,318.5,2.34,537.6,65.23,86,303.9,36.1
B,307.5,2.02,2598.4,85.61,88,295.1,48.5
B,357.1,2.15,509.6,77.19,41,308.2,33.2
C,380.4,2.33,186.7,67.66,39,310.7,53.0
A,384.3,2.49,655.2,88.91,36,319.0,65.4
A,342.2,2.47,122.3,71.74,55,301.2,72.2
B,351.3,2.75,327.4,80.56,43,300.1,51.8
A,392.8,2.42,1009.5,89.36,38,327.5,30.0
D,327.1,2.87,320.5,91.88,67,298.2,43.7
A,275.7,2.24,1021.5,89.92,200,280.8,32.1
C,384.6,2.34,1036.7,92.39,36,295.5,79.4
B,315.2,3.16,131.0,83.23,69,288.8,32.4
B,341.3,1.68,1200.0,93.1,55,290.2,53.7
C,363.7,3.47,440.5,89.81,43,325.2,37.2
B,336.1,2.7,1550.1,85.33,57,300.4,66.8
C,382.4,3.72,430.7,73.76,38,323.3,30.8
B,430.1,3.05,363.5,77.36,28,321.4,43.4
B,325.8,2.41,426.6,79.74,70,296.9,39.9
C,354.0,1.99,742.6,89.55,52,300.1,43.0
C,350.1,3.12,111.9,82.29,49,309.5,33.6
C,359.4,1.84,581.7,81.56,46,320.6,87.2
C,331.9,2.69,1345.2,85.98,53,295.8,58.9
D,330.5,2.12,581.7,84.7,63,313.9,36.3
B,331.2,2.89,299.1,86.42,61,305.4,84.9
B,336.2,1.86,115.1,75.34,61,301.6,49.1
A,336.6,2.81,105.8,67.09,54,290.3,35.6
B,274.8,2.7,367.9,85.58,171,295.5,34.0
B,352.7,2.59,100.3,82.96,51,298.9,34.2
D,341.0,2.65,189.8,87.62,56,287.5,48.7
B,328.4,2.59,1976.3,74.97,61,292.2,50.2
C,352.8,2.2,135.5,84.66,51,309.4,42.9
A,349.8,2.01,775.6,84.92,45,310.8,68.4
B,338.1,2.45,1210.8,89.39,61,305.9,68.9
D,350.3,3.31,119.1,74.37,50,300.2,46.9
A,332.5,2.73,1687.9,95.44,60,303.3,39.6
A,314.9,2.21,488.1,65.71,62,305.3,34.2
B,408.8,2.79,217.3,91.43,35,324.0,72.3
C,335.1,2.39,289.3,67.36,59,310.3,62.6
B,358.0,2.16,2073.0,90.91,51,305.3,93.6
B,427.9,2.99,291.1,82.99,29,333.4,33.5
C,337.6,2.79,751.2,81.25,53,304.5,53.3
A,363.8,2.49,256.4,93.03,42,302.7,40.7
C,419.8,3.1,469.1,91.9,28,317.4,94.7
A,300.5,2.7,310.4,77.47,91,287.9,57.0
B,390.0,2.59,685.1,84.29,34,304.3,65.6
C,356.7,1.79,250.2,83.84,46,307.4,49.7
D,334.8,3.02,242.8,78.39,55,297.7,40.4
C,351.5,1.88,315.8,87.28,50,296.2,35.9
C,339.1,2.57,466.2,94.57,57,293.1,70.1
B,397.3,2.62,392.2,83.93,31,322.3,64.4
A,349.5,2.3,485.3,86.61,54,306.2,31.8
A,370.9,2.06,277.9,89.81,40,307.7,41.5
D,334.1,2.55,228.3,80.8,53,304.5,51.1
D,358.8,2.75,452.6,78.33,47,310.2,32.7
D,338.5,2.23,271.7,81.68,54,306.8,46.9
A,307.4,2.27,2536.4,73.62,90,284.9,33.9
B,389.3,2.04,375.7,83.97,37,312.7,65.4
C,360.4,1.85,497.5,91.6,42,306.5,33.6
C,373.1,2.44,454.3,93.62,41,323.8,90.0
C,328.1,2.21,926.0,90.83,68,293.2,38.7
C,385.5,2.77,144.0,64.88,36,308.9,46.8
B,364.0,2.77,361.0,73.38,40,305.6,57.6
A,354.5,2.74,317.0,91.18,46,304.9,65.8
A,380.9,2.21,367.1,91.34,35,316.8,41.7
A,340.1,2.88,111.2,81.59,53,303.9,68.0
B,388.8,2.12,456.1,96.26,38,314.5,31.4
A,330.1,2.83,764.0,86.76,58,296.3,32.7
B,351.0,2.7,1226.9,93.03,52,302.9,58.3
C,321.9,2.78,538.9,77.75,61,279.1,66.8
D,315.6,1.94,1191.9,70.55,81,303.8,40.2
D,336.0,3.0,699.1,90.43,57,305.2,36.8
A,345.2,2.57,953.0,87.71,57,297.1,34.1
A,366.6,2.49,262.3,83.75,40,315.8,73.2
A,330.7,2.12,642.6,92.18,68,313.5,57.7
D,367.6,2.26,270.8,86.55,42,311.4,42.4
B,340.4,2.42,487.6,66.78,51,299.1,32.3
A,335.2,2.42,136.0,72.23,54,298.8,93.9
D,368.9,3.17,782.4,85.83,46,307.1,50.9
B,333.7,2.47,267.9,79.63,55,309.0,40.9
D,404.8,2.38,181.1,88.57,36,326.8,43.6
A,363.0,2.41,685.8,95.51,38,295.8,37.9
B,309.0,2.65,268.9,80.01,73,292.0,48.7
B,346.4,2.59,205.0,91.14,57,302.3,34.5
D,330.6,2.08,2694.3,77.12,72,304.1,66.2
D,300.8,3.24,781.9,80.27,96,281.6,43.9
B,381.7,2.4,459.6,85.27,36,315.6,33.8
A,382.4,1.97,625.2,93.14,38,303.6,33.8
B,328.3,2.24,1786.8,91.87,64,305.0,36.1
D,371.3,2.48,319.0,79.11,45,314.6,39.6
C,376.3,3.17,201.0,79.66,36,328.9,33.8
C,349.6,2.4,1209.0,87.97,49,294.1,32.7
B,378.6,2.16,943.0,82.65,38,318.2,34.9
B,358.8,2.36,446.3,80.78,45,320.1,36.3
B,384.4,2.45,243.4,86.86,37,319.9,33.7
C,314.8,2.44,669.3,74.17,77,279.3,30.7
D,354.4,1.8,1439.9,93.17,48,322.8,61.1
B,356.0,2.1,137.2,66.71,46,322.1,30.2
B,315.3,2.83,2113.8,91.85,72,286.0,31.3
B,318.2,2.66,276.6,78.85,77,291.6,41.4
A,302.5,2.64,399.1,81.64,90,299.6,36.1
D,351.4,2.26,748.5,92.16,46,306.6,86.8
B,336.8,1.9,143.4,93.64,66,296.7,33.7
