Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
230,Quentin Perez\perezqu01,PG,21,GSW,53,6,27.8,2.7,8.4,0.321,0.9,3.5,0.252,1.8,4.9,0.369,0.375,0.2,0.3,0.75,0.1,8.9,9.0,1.9,1.9,0.0,2.5,0.8,6.5
231,Chris Williams\willich01,PG,21,DAL,82,24,15.1,7.5,15.9,0.472,2.4,6.2,0.392,5.1,9.7,0.529,0.547,1.7,2.1,0.828,0.2,8.1,8.3,0.2,1.4,0.0,0.2,1.5,19.1
232,Marcus King\kingma01,PG,25,DET,4,0,14.0,1.6,4.1,0.39,0.8,2.5,0.334,0.8,1.6,0.485,0.488,1.9,2.9,0.659,1.2,1.2,2.4,2.4,1.1,0.1,0.1,2.6,5.9
233,Kessler Brown\brownke01,SG,34,IND,81,77,15.3,2.6,6.0,0.433,1.6,4.0,0.393,1.0,2.0,0.481,0.567,0.7,1.0,0.657,0.4,0.7,1.1,3.1,0.7,0.4,3.7,2.4,7.5
234,Tyler Jackson\jacksty01,PG,20,OKC,19,5,22.8,5.9,16.0,0.369,4.9,13.9,0.35,1.0,2.1,0.467,0.522,5.5,8.5,0.645,1.0,3.4,4.4,0.2,0.6,1.3,0.4,2.1,22.2
235,Kessler Adams\adamske01,C,21,LAL,41,35,25.2,0.6,1.5,0.4,0.1,0.4,0.275,0.5,1.1,0.466,0.433,5.0,5.1,0.972,0.2,1.3,1.5,0.5,0.5,0.2,2.5,1.2,6.3
236,Naz Mitchell\mitchna01,C,23,GSW,63,56,13.2,1.9,3.3,0.576,0.3,0.8,0.355,1.6,2.5,0.624,0.621,3.8,4.9,0.782,0.4,0.2,0.6,0.3,0.2,1.3,0.1,3.8,7.9
237,Aaron Harris\harriaa01,PF,32,ORL,70,35,13.8,2.3,5.0,0.46,1.0,2.7,0.361,1.3,2.3,0.577,0.56,1.4,1.7,0.843,1.0,2.2,3.2,4.6,0.1,2.1,0.9,2.8,7.0
238,Tre Wright\wrightr01,C,31,POR,61,45,29.5,0.8,1.5,0.533,0.5,1.0,0.458,0.3,0.5,0.646,0.7,10.8,12.0,0.904,1.1,2.5,3.6,0.5,0.0,0.9,1.4,0.6,12.9
239,Jaden Thompson\thompja01,SF,31,IND,34,10,32.0,0.7,1.5,0.467,0.1,0.4,0.328,0.6,1.1,0.584,0.5,3.4,4.6,0.743,1.7,2.3,4.0,0.6,1.0,0.7,1.6,2.5,4.9
240,Ja Smith\smithja01,PG,32,WAS,58,23,10.0,2.6,7.3,0.356,1.6,5.2,0.316,1.0,2.1,0.454,0.466,2.3,2.9,0.793,0.5,1.3,1.8,0.8,0.5,0.0,1.9,3.0,9.1
241,Drew Lopez\lopezdr01,PF,34,SAC,68,61,16.6,10.2,20.0,0.51,2.7,7.7,0.351,7.5,12.3,0.606,0.577,1.4,1.8,0.755,0.1,0.1,0.2,2.5,0.5,1.0,0.6,2.0,24.5
242,Bennedict Miller\millebe01,SF,36,ATL,25,23,28.7,0.2,0.5,0.4,0.1,0.3,0.257,0.1,0.2,0.617,0.5,0.3,0.5,0.602,0.4,7.4,7.8,1.1,0.0,0.1,0.0,2.7,0.8
243,Mike Scott\scottmi01,PF,37,PHI,10,0,36.0,2.1,4.4,0.477,0.7,2.0,0.328,1.4,2.4,0.568,0.557,2.3,2.9,0.801,0.8,0.9,1.7,2.2,0.6,0.1,0.9,2.3,7.2
244,Chris Wilson\wilsoch01,SF,32,NYK,75,61,21.7,1.2,3.1,0.387,0.8,2.3,0.341,0.4,0.8,0.559,0.516,0.5,0.7,0.717,1.5,1.1,2.6,0.1,0.5,0.0,0.3,2.3,3.7
245,Precious Lopez\lopezpr01,PG,27,ORL,75,59,24.0,6.0,14.5,0.414,4.0,11.1,0.361,2.0,3.4,0.587,0.552,2.7,3.6,0.746,2.3,0.3,2.6,0.5,0.3,0.8,1.6,3.3,18.7
246,Matisse Williams\willima01,C,25,MEM,40,17,11.5,1.8,4.7,0.383,0.9,3.2,0.292,0.9,1.5,0.601,0.479,0.1,0.1,0.924,0.9,3.9,4.8,1.0,0.3,0.2,0.6,1.7,4.6
247,Marcus Martin\martima01,PF,20,WAS,4,0,28.9,1.5,4.4,0.341,0.6,2.4,0.249,0.9,2.0,0.461,0.409,0.6,0.8,0.705,0.2,0.7,0.9,0.4,0.0,0.1,0.2,1.6,4.2
248,David Adams\adamsda01,PG,27,DEN,27,12,24.0,8.6,16.8,0.512,2.7,7.3,0.374,5.9,9.5,0.618,0.592,0.7,0.7,1.0,0.1,1.2,1.3,0.0,0.0,0.6,0.7,2.3,20.6
249,Shake Clark\clarksh01,C,22,SAC,77,50,16.4,2.2,5.7,0.386,1.0,3.5,0.297,1.2,2.2,0.567,0.474,2.8,3.2,0.875,1.4,1.2,2.6,1.0,0.0,2.6,1.4,2.2,8.2
250,Walker Lewis\lewiswa01,PG,34,OKC,23,3,19.7,3.7,10.5,0.352,1.3,5.9,0.214,2.4,4.6,0.521,0.414,2.6,3.0,0.869,0.8,0.5,1.3,0.5,2.3,0.2,0.1,1.9,11.3
251,Quentin Hernandez\hernaqu01,SG,33,BOS,64,36,36.0,2.1,5.4,0.389,1.1,3.3,0.345,1.0,2.1,0.495,0.491,6.4,7.1,0.907,0.1,1.1,1.2,0.7,0.0,0.8,5.0,3.1,11.7
252,Luke Johnson\johnslu01,C,37,IND,35,31,33.4,5.8,16.9,0.343,2.7,8.8,0.308,3.1,8.1,0.387,0.423,1.7,2.9,0.597,0.9,2.8,3.7,0.7,0.5,1.0,0.7,1.7,16.0
253,Tyler Moore\moorety01,SF,36,DAL,63,9,33.5,3.1,6.8,0.456,0.9,2.9,0.314,2.2,3.9,0.552,0.522,0.3,0.4,0.722,0.7,3.5,4.2,0.4,0.2,1.0,0.9,2.9,7.4
254,Andre Scott\scottan01,C,35,OKC,78,53,11.5,1.4,3.1,0.452,0.6,1.4,0.423,0.8,1.7,0.459,0.548,0.5,0.6,0.758,0.0,0.5,0.5,1.0,0.0,1.0,0.1,2.4,3.9
255,Quentin Johnson\johnsqu01,C,28,CLE,44,17,8.6,0.2,0.5,0.4,0.0,0.1,0.306,0.2,0.4,0.511,0.4,0.6,0.9,0.69,1.0,1.6,2.6,0.6,0.2,0.2,3.3,2.2,1.0
256,Mike Smith\smithmi01,PG,29,BRK,30,23,5.4,1.0,2.5,0.4,0.6,1.5,0.406,0.4,1.0,0.395,0.52,1.2,1.8,0.651,0.1,0.5,0.6,1.2,0.0,0.0,1.0,1.7,3.8
257,Josh Clark\clarkjo01,C,34,NOP,39,23,25.4,4.4,9.7,0.454,1.6,4.2,0.387,2.8,5.5,0.518,0.536,0.1,0.2,0.716,0.3,2.2,2.5,0.7,1.3,0.5,0.3,1.3,10.5
258,Gary Nelson\nelsoga01,C,34,BOS,58,23,9.1,5.0,13.0,0.385,2.9,8.5,0.34,2.1,4.5,0.464,0.496,6.0,6.9,0.875,1.3,3.6,4.9,0.9,0.1,0.2,0.3,1.4,18.9
259,Jordan Johnson\johnsjo01,SG,34,PHO,48,23,10.2,3.4,11.5,0.296,1.2,3.9,0.297,2.2,7.6,0.286,0.348,1.5,1.7,0.857,0.1,0.3,0.4,2.5,0.5,0.7,4.1,2.9,9.5
260,Mike Allen\allenmi01,PG,33,PHO,38,2,30.3,0.2,0.5,0.4,0.1,0.3,0.454,0.1,0.2,0.479,0.5,6.3,7.9,0.793,0.1,1.8,1.9,2.8,0.2,0.4,0.1,1.8,6.8
261,Deni Thomas\thomade01,PG,36,GSW,57,42,3.0,8.2,20.0,0.41,3.7,10.9,0.34,4.5,9.1,0.49,0.502,0.4,0.5,0.795,0.2,0.9,1.1,1.8,0.2,1.0,4.4,1.8,20.5
262,Matisse Green\greenma01,C,23,CHA,6,1,24.4,4.3,8.8,0.489,1.5,3.9,0.386,2.8,4.9,0.565,0.574,2.5,2.9,0.862,0.0,2.3,2.3,3.6,0.7,0.2,0.4,1.0,12.6
263,Andre Jones\jonesan01,PF,34,MEM,36,34,8.7,2.8,9.5,0.295,1.7,7.4,0.236,1.1,2.1,0.537,0.384,0.6,0.9,0.679,1.7,3.2,4.9,9.6,1.1,0.3,1.4,1.3,7.9
264,Aaron Hernandez\hernaaa01,PG,37,MIA,48,42,20.7,0.2,0.5,0.4,0.0,0.1,0.335,0.2,0.4,0.551,0.4,0.9,1.1,0.786,0.7,0.7,1.4,0.6,1.7,0.9,1.3,1.7,1.3
265,Mike Miller\millemi01,SF,38,GSW,2,0,36.0,0.4,1.0,0.4,0.2,0.5,0.368,0.2,0.5,0.475,0.5,3.8,4.7,0.8,0.6,2.8,3.4,1.1,0.8,0.4,1.9,1.2,4.8
266,Quentin Adams\adamsqu01,SG,36,MEM,64,62,22.8,7.3,20.0,0.365,2.2,8.2,0.27,5.1,11.8,0.43,0.42,0.0,0.0,0.94,0.0,0.1,0.1,1.7,0.7,0.5,3.2,2.6,16.8
267,Ryan Clark\clarkry01,PF,25,WAS,35,12,17.3,2.3,5.5,0.418,1.1,3.0,0.352,1.2,2.5,0.489,0.518,3.3,4.0,0.828,0.3,1.2,1.5,0.4,0.3,0.1,2.2,0.9,9.0
268,Javonte Taylor\tayloja01,SF,30,SAS,77,54,17.7,2.7,6.0,0.45,0.7,2.7,0.277,2.0,3.3,0.603,0.508,5.3,5.9,0.895,0.6,1.1,1.7,2.1,1.2,0.1,0.5,2.7,11.4
269,Kyle Robinson\robinky01,C,38,GSW,1,0,17.6,8.1,15.7,0.516,2.3,4.8,0.476,5.8,10.9,0.534,0.589,2.8,2.8,0.988,1.1,5.0,6.1,2.9,0.7,1.5,0.5,1.3,21.3
270,Nic Gonzalez\gonzani01,SF,35,DET,55,11,14.8,1.3,3.5,0.371,1.0,2.8,0.347,0.3,0.7,0.492,0.514,7.7,10.9,0.708,0.9,0.3,1.2,0.2,0.5,0.9,0.6,0.5,11.3
271,Quentin Mitchell\mitchqu01,PG,21,LAC,82,21,4.5,3.3,9.4,0.351,1.8,6.2,0.293,1.5,3.2,0.467,0.447,2.1,2.6,0.815,0.5,0.5,1.0,3.1,3.0,0.3,1.1,1.9,10.5
272,Miles Lewis\lewismi01,PF,29,TOR,72,64,11.8,8.5,20.0,0.425,3.2,11.1,0.289,5.3,8.9,0.597,0.505,3.0,3.1,0.959,0.9,0.5,1.4,2.4,0.0,0.3,1.2,1.7,23.2
273,Derrick Miller\millede01,PG,32,CLE,1,0,32.0,10.1,20.0,0.505,1.7,6.8,0.25,8.4,13.2,0.637,0.548,0.0,0.0,0.548,1.2,2.4,3.6,1.1,0.3,0.7,0.1,2.3,21.9
274,Herb Anderson\anderhe01,C,33,SAC,57,22,31.0,8.1,20.0,0.405,3.1,11.4,0.273,5.0,8.6,0.583,0.483,0.9,1.2,0.71,3.7,0.3,4.0,8.3,0.5,0.0,3.6,1.2,20.2
275,Obi Garcia\garciob01,SF,31,MIL,7,3,25.4,0.2,0.5,0.4,0.1,0.2,0.284,0.1,0.3,0.453,0.5,0.6,0.6,1.0,0.5,0.1,0.6,3.7,1.7,1.4,0.2,2.1,1.1
276,Darius Jackson\jacksda01,PG,21,PHO,49,33,19.3,2.7,6.7,0.403,1.0,2.9,0.338,1.7,3.8,0.442,0.478,5.7,5.7,1.0,0.7,0.6,1.3,7.8,1.4,0.0,0.7,2.8,12.1
277,Javonte Mitchell\mitchja01,PG,34,NYK,19,5,25.4,0.4,1.0,0.4,0.0,0.1,0.472,0.4,0.9,0.445,0.4,2.1,2.7,0.76,0.4,0.9,1.3,1.9,0.5,0.2,0.4,2.8,2.9
278,Ryan Anderson\anderry01,C,29,SAS,2,0,22.0,1.4,3.2,0.437,0.8,2.2,0.357,0.6,1.0,0.564,0.562,0.3,0.3,0.899,0.5,0.1,0.6,2.5,2.3,0.3,0.7,2.4,3.9
279,Naz Martin\martina01,SG,33,NOP,60,16,25.2,9.4,20.0,0.47,5.0,12.2,0.409,4.4,7.8,0.561,0.595,0.4,0.5,0.727,1.9,0.2,2.1,0.9,0.5,0.7,0.5,3.1,24.2
280,Luke Smith\smithlu01,PG,20,PHO,1,0,33.7,5.7,12.5,0.456,1.0,3.1,0.319,4.7,9.4,0.498,0.496,0.9,1.5,0.624,0.5,0.7,1.2,2.7,0.6,0.1,1.1,0.3,13.3
281,Kessler Moore\mooreke01,PF,25,DAL,77,27,31.0,3.9,10.4,0.375,1.0,3.6,0.274,2.9,6.8,0.422,0.423,1.0,1.3,0.769,0.0,0.4,0.4,0.8,0.7,0.2,0.3,1.1,9.8
282,Andre Wright\wrighan01,SG,32,TOR,38,9,16.7,2.6,6.7,0.388,0.8,2.4,0.327,1.8,4.3,0.42,0.448,0.9,1.2,0.783,0.8,1.1,1.9,0.4,0.2,1.3,0.1,1.6,6.9
283,Shake Williams\willish01,PF,35,CHA,12,4,11.9,0.7,1.6,0.437,0.2,0.5,0.444,0.5,1.1,0.452,0.5,1.6,1.9,0.861,0.5,1.1,1.6,0.9,0.8,1.8,0.3,1.2,3.2
284,Jordan Hernandez\hernajo01,PF,32,LAC,75,39,2.0,10.1,19.8,0.51,2.4,6.2,0.383,7.7,13.6,0.563,0.571,1.4,1.8,0.766,0.2,0.8,1.0,1.5,0.1,0.4,2.3,2.9,24.0
285,Naz Green\greenna01,C,33,SAS,44,42,13.1,0.4,1.0,0.4,0.1,0.4,0.31,0.3,0.6,0.485,0.45,1.6,1.7,0.931,0.2,0.3,0.5,0.6,1.3,0.3,4.4,2.7,2.5
286,Tyler Hernandez\hernaty01,PF,36,NYK,12,7,18.9,2.2,4.8,0.458,0.9,2.3,0.373,1.3,2.5,0.51,0.552,0.5,0.7,0.666,0.9,2.7,3.6,3.4,0.3,0.0,4.6,1.6,5.8
287,Isaiah Martin\martiis01,PF,38,NYK,9,0,18.5,0.6,1.1,0.545,0.2,0.5,0.375,0.4,0.6,0.626,0.636,6.4,9.3,0.692,4.1,2.6,6.7,1.5,0.5,0.5,0.7,2.1,7.8
288,Andre Lewis\lewisan01,SF,38,WAS,69,60,19.4,4.4,10.0,0.44,1.8,4.3,0.421,2.6,5.7,0.456,0.53,2.2,2.7,0.8,1.0,0.0,1.0,0.9,0.0,0.5,4.6,1.6,12.8
289,Quentin Jones\jonesqu01,SG,22,UTA,1,0,23.5,4.4,11.5,0.383,2.4,8.4,0.282,2.0,3.1,0.647,0.487,3.4,4.7,0.733,0.3,1.1,1.4,1.3,0.2,1.5,0.2,3.3,14.6
290,Jaden Miller\milleja01,SG,20,LAL,17,8,28.8,3.9,7.8,0.5,2.2,5.0,0.443,1.7,2.8,0.606,0.641,3.3,4.5,0.724,0.1,7.5,7.6,0.5,0.5,0.6,0.1,0.7,13.3
291,Derrick Harris\harride01,PG,31,ORL,19,1,6.0,1.3,3.4,0.382,0.5,1.8,0.278,0.8,1.6,0.52,0.456,2.5,2.5,1.0,0.5,1.3,1.8,0.9,0.6,1.2,0.4,1.8,5.6
292,Nic Green\greenni01,C,23,SAC,8,1,10.9,4.3,8.9,0.483,2.4,6.1,0.388,1.9,2.8,0.671,0.618,2.9,4.4,0.668,0.0,1.6,1.6,2.6,0.4,0.6,5.0,2.3,13.9
293,Quentin Lewis\lewisqu01,SF,22,ATL,7,4,10.9,0.6,1.4,0.429,0.4,0.8,0.445,0.2,0.6,0.356,0.571,2.6,3.1,0.853,0.1,2.3,2.4,2.6,0.9,0.3,0.4,1.4,4.2
294,Naz Adams\adamsna01,SG,36,MIA,66,16,25.9,0.7,1.5,0.467,0.4,1.0,0.352,0.3,0.5,0.516,0.6,0.9,1.2,0.747,2.2,7.7,9.9,1.8,1.1,0.7,4.2,1.9,2.7
295,Quentin Baker\bakerqu01,SF,24,PHI,50,40,36.0,10.4,20.0,0.52,1.2,2.5,0.483,9.2,17.5,0.528,0.55,2.8,4.2,0.678,0.1,5.8,5.9,3.7,0.9,0.9,0.6,3.2,24.8
296,Tyler Walker\walkety01,SF,36,POR,33,6,21.7,5.6,10.9,0.514,1.2,2.7,0.44,4.4,8.2,0.539,0.569,1.6,2.4,0.667,0.2,0.4,0.6,0.8,0.1,3.0,0.3,1.0,14.0
297,Darius Green\greenda01,SG,28,BRK,46,34,23.8,1.9,5.2,0.365,1.0,3.4,0.292,0.9,1.8,0.508,0.462,4.5,5.4,0.83,0.2,4.1,4.3,0.4,1.5,0.4,0.6,1.3,9.3
298,Ryan Lewis\lewisry01,PF,20,POR,73,52,15.3,0.2,0.7,0.286,0.1,0.4,0.23,0.1,0.3,0.439,0.357,0.7,0.9,0.752,1.3,2.9,4.2,1.7,0.1,0.1,1.0,1.1,1.2
299,Drew Brown\browndr01,PG,31,MIA,42,13,11.1,0.2,0.5,0.4,0.0,0.1,0.279,0.2,0.4,0.615,0.4,1.1,1.2,0.922,0.7,0.6,1.3,1.0,0.9,0.1,2.3,1.6,1.5
300,Bennedict Wilson\wilsobe01,PG,33,DEN,4,2,13.8,1.8,4.2,0.429,0.6,2.1,0.266,1.2,2.1,0.548,0.5,1.4,1.8,0.796,1.1,3.0,4.1,3.5,0.3,0.3,0.1,3.5,5.6
301,Nic Mitchell\mitchni01,SG,35,SAS,10,9,34.2,1.3,2.6,0.5,0.5,1.4,0.388,0.8,1.2,0.633,0.596,0.9,1.7,0.506,0.9,2.1,3.0,3.3,0.5,1.1,2.3,2.3,4.0
302,Andre Walker\walkean01,PG,33,HOU,68,17,19.5,4.0,8.8,0.455,1.6,4.4,0.358,2.4,4.4,0.556,0.545,0.0,0.0,0.941,2.6,6.2,8.8,1.1,0.2,0.8,1.7,1.0,9.6
303,Andre Miller\millean01,PG,31,PHI,62,49,18.0,2.0,4.8,0.417,1.3,3.3,0.398,0.7,1.5,0.474,0.552,3.1,3.4,0.899,0.2,0.5,0.7,3.7,3.0,0.3,1.3,1.2,8.4
304,Kevin Robinson\robinke01,SF,23,TOR,61,35,25.5,2.8,8.8,0.318,2.0,6.3,0.312,0.8,2.5,0.312,0.432,3.6,3.6,1.0,0.1,0.7,0.8,1.3,1.3,0.1,0.5,3.2,11.2
305,Javonte Lopez\lopezja01,C,28,BRK,14,3,20.7,1.3,2.8,0.464,0.5,1.2,0.424,0.8,1.6,0.503,0.554,1.8,2.4,0.733,0.2,0.4,0.6,4.7,0.2,0.4,3.2,2.2,4.9
306,Naz Garcia\garcina01,PF,30,NYK,61,29,29.6,3.9,7.5,0.52,1.0,1.9,0.501,2.9,5.6,0.525,0.587,8.3,11.0,0.752,0.2,3.0,3.2,0.2,1.5,0.3,0.8,2.1,17.1
307,Derrick Thompson\thompde01,SG,30,SAS,3,0,19.9,2.9,7.0,0.414,0.8,2.0,0.382,2.1,5.0,0.422,0.471,0.3,0.5,0.55,2.3,1.7,4.0,0.4,2.7,0.3,1.0,1.7,6.9
308,Derrick Lee\leede01,C,32,WAS,38,20,22.5,1.0,2.6,0.385,0.3,1.2,0.242,0.7,1.4,0.522,0.442,2.2,3.2,0.685,0.9,1.9,2.8,2.4,0.3,0.6,1.4,1.5,4.5
309,Precious Thomas\thomapr01,SG,27,DEN,10,5,24.5,2.9,6.9,0.42,1.5,3.8,0.382,1.4,3.1,0.442,0.529,0.9,1.1,0.813,0.8,0.8,1.6,0.5,0.0,0.1,0.8,2.5,8.2
310,Obi Hill\hillob01,SF,22,NYK,1,0,14.5,4.1,8.2,0.5,0.8,2.0,0.421,3.3,6.2,0.532,0.549,1.1,1.4,0.777,0.7,0.9,1.6,3.6,1.8,0.0,4.2,1.7,10.1
311,Precious Hernandez\hernapr01,SG,25,CLE,17,11,16.3,2.1,4.8,0.438,1.2,2.7,0.45,0.9,2.1,0.444,0.563,1.6,2.2,0.731,0.3,0.3,0.6,3.7,0.0,0.6,2.1,2.0,7.0
312,Marcus Hall\hallma01,SF,22,LAC,44,3,25.6,9.5,19.1,0.497,2.6,8.1,0.322,6.9,11.0,0.623,0.565,0.2,0.2,0.907,0.1,4.5,4.6,0.5,0.4,0.5,1.4,2.2,21.8
313,Precious Adams\adamspr01,SG,31,MIA,78,57,21.1,4.4,10.0,0.44,0.8,2.8,0.296,3.6,7.2,0.506,0.48,0.1,0.2,0.745,0.0,0.4,0.4,0.1,0.5,0.2,1.9,1.9,9.7
314,Matisse Davis\davisma01,SF,20,SAC,4,1,14.8,1.3,2.9,0.448,0.6,1.6,0.354,0.7,1.3,0.568,0.552,2.9,3.9,0.746,1.3,6.8,8.1,2.6,0.1,1.1,0.3,2.9,6.1
315,Matisse Lewis\lewisma01,PG,27,DET,73,18,19.8,0.7,1.5,0.467,0.3,0.7,0.359,0.4,0.8,0.454,0.567,4.2,5.3,0.789,2.0,1.3,3.3,0.3,0.3,0.0,0.2,2.8,5.9
316,Kevin King\kingke01,C,23,LAC,47,42,36.0,6.5,13.9,0.468,2.2,4.9,0.445,4.3,9.0,0.477,0.547,2.4,3.4,0.717,0.0,5.4,5.4,0.8,0.0,0.1,1.6,3.2,17.6
317,Gary Perez\perezga01,SF,37,PHI,81,75,18.3,0.2,0.5,0.4,0.1,0.4,0.323,0.1,0.1,0.562,0.5,0.5,0.7,0.733,0.6,1.8,2.4,0.2,0.0,0.2,4.7,4.6,1.0
318,Isaiah Clark\clarkis01,PG,30,CLE,30,9,12.9,2.4,5.7,0.421,0.9,2.4,0.376,1.5,3.3,0.456,0.5,1.1,1.5,0.712,0.4,2.5,2.9,1.1,1.0,0.3,0.9,1.2,6.8
319,Derrick Lewis\lewisde01,SG,26,DEN,57,11,23.6,3.0,6.9,0.435,1.2,3.3,0.352,1.8,3.6,0.494,0.522,2.3,3.4,0.678,1.6,3.5,5.1,1.1,0.6,0.1,2.8,2.1,9.5
320,Josh Gonzalez\gonzajo01,PG,28,BRK,27,13,34.8,0.2,0.6,0.333,0.1,0.3,0.443,0.1,0.3,0.451,0.417,0.1,0.1,0.879,0.3,1.7,2.0,0.6,0.6,0.2,0.7,1.4,0.6
321,Darius Mitchell\mitchda01,SF,31,SAS,1,0,18.2,7.0,18.9,0.37,2.9,8.1,0.356,4.1,10.8,0.38,0.447,1.2,1.4,0.865,0.6,0.8,1.4,0.3,0.5,0.5,0.1,0.8,18.1
322,Herb Jones\joneshe01,SG,29,DEN,75,73,17.7,0.9,1.8,0.5,0.2,0.4,0.389,0.7,1.4,0.529,0.556,0.4,0.6,0.632,0.4,6.7,7.1,7.0,0.6,1.6,0.3,1.2,2.4
323,Jordan Hall\halljo01,PF,36,MIL,79,20,16.0,3.4,8.9,0.382,2.4,7.1,0.337,1.0,1.8,0.562,0.517,0.7,0.9,0.777,1.2,0.5,1.7,0.5,0.4,0.8,2.6,1.8,9.9
324,Ryan Robinson\robinry01,PG,22,PHO,61,52,8.1,1.4,3.4,0.412,0.5,1.4,0.37,0.9,2.0,0.47,0.485,7.9,11.1,0.71,2.8,0.7,3.5,2.4,1.0,0.3,3.4,1.6,11.2
325,Kevin White\whiteke01,PG,22,MIN,82,38,18.9,2.4,4.0,0.6,0.4,1.0,0.407,2.0,3.0,0.667,0.65,3.8,3.9,0.973,0.1,4.3,4.4,0.3,0.6,0.5,1.4,1.8,9.0
326,Ja Lee\leeja01,PF,21,HOU,26,16,29.6,3.9,12.4,0.315,1.9,8.7,0.216,2.0,3.7,0.528,0.391,3.0,3.9,0.757,0.3,9.0,9.3,1.9,1.1,0.1,3.8,2.2,12.7
327,Marcus Harris\harrima01,PG,36,LAC,79,74,23.6,2.7,5.9,0.458,0.5,1.6,0.342,2.2,4.3,0.502,0.5,2.4,3.0,0.814,1.1,3.9,5.0,1.4,0.0,0.8,2.3,1.6,8.3
328,Tyler Gonzalez\gonzaty01,PG,31,MIN,81,40,20.8,6.7,20.0,0.335,3.8,12.5,0.303,2.9,7.5,0.382,0.43,1.2,1.4,0.871,0.5,0.8,1.3,6.6,0.4,1.0,2.6,2.2,18.4
329,Javonte Lewis\lewisja01,SG,30,MIN,32,23,4.5,6.4,20.0,0.32,4.6,15.6,0.296,1.8,4.4,0.418,0.435,0.7,0.8,0.923,0.4,8.4,8.8,3.5,0.5,0.8,0.7,1.9,18.1
330,James Perez\perezja01,SG,21,CHA,34,27,16.6,5.4,11.1,0.486,1.2,3.4,0.366,4.2,7.7,0.54,0.541,0.4,0.6,0.731,0.1,5.0,5.1,0.3,0.4,0.0,0.6,2.7,12.4
331,Herb Hill\hillhe01,SG,27,HOU,81,67,9.7,2.9,6.1,0.475,1.0,2.7,0.365,1.9,3.4,0.558,0.557,0.7,0.9,0.776,1.8,4.6,6.4,2.6,0.3,0.9,0.4,2.3,7.5
332,Jordan Moore\moorejo01,C,35,GSW,58,27,2.0,5.1,10.0,0.51,0.9,2.1,0.413,4.2,7.9,0.529,0.555,2.1,3.1,0.678,0.4,0.1,0.5,0.4,0.3,0.5,3.4,1.4,13.2
333,Luke Davis\davislu01,SF,22,WAS,76,55,14.3,8.1,18.5,0.438,3.7,7.9,0.468,4.4,10.6,0.411,0.538,2.6,3.3,0.798,0.0,2.6,2.6,0.3,0.2,0.3,0.1,2.0,22.5
334,Jordan Clark\clarkjo01,SF,22,POR,68,10,25.1,3.0,9.2,0.326,0.7,2.4,0.29,2.3,6.8,0.335,0.364,2.4,2.8,0.848,0.1,5.0,5.1,1.7,0.0,0.2,1.5,2.1,9.1
335,Obi Davis\davisob01,C,37,LAC,46,2,11.1,9.3,20.0,0.465,0.7,2.1,0.332,8.6,17.9,0.48,0.483,4.8,4.9,0.973,0.2,4.8,5.0,3.8,0.0,0.5,1.4,3.2,24.1
336,Naz Moore\moorena01,C,36,MIN,19,16,12.0,3.4,6.6,0.515,1.3,3.3,0.392,2.1,3.3,0.627,0.614,1.8,2.3,0.802,0.1,0.1,0.2,3.0,1.8,0.2,0.6,1.2,9.9
337,Josh Hall\halljo01,C,25,MIN,49,3,35.5,0.3,0.8,0.375,0.1,0.4,0.363,0.2,0.4,0.55,0.437,3.4,4.6,0.748,1.5,0.6,2.1,9.3,0.2,0.3,1.0,2.7,4.1
338,Brandon Smith\smithbr01,C,38,ATL,1,0,25.8,8.0,15.7,0.51,2.0,4.3,0.468,6.0,11.4,0.527,0.573,4.7,7.9,0.589,0.3,0.4,0.7,0.8,0.5,1.2,0.6,2.7,22.7
339,Drew Lewis\lewisdr01,C,35,MEM,52,40,31.1,2.7,7.1,0.38,1.4,4.8,0.298,1.3,2.3,0.563,0.479,0.4,0.5,0.765,0.7,0.8,1.5,2.3,0.3,3.0,1.0,1.8,7.2
340,Jordan Jones\jonesjo01,PF,35,MIL,43,7,31.6,5.0,11.5,0.435,2.5,6.5,0.39,2.5,5.0,0.506,0.543,2.0,2.1,0.934,0.1,1.5,1.6,1.2,0.1,0.2,0.7,1.8,14.5
341,Marcus Brown\brownma01,PG,26,POR,12,0,25.6,6.7,20.0,0.335,1.6,5.4,0.289,5.1,14.6,0.35,0.375,1.7,2.8,0.605,2.4,0.4,2.8,0.8,0.2,1.0,0.1,1.6,16.7
342,James Green\greenja01,SG,23,MIL,13,4,19.1,9.6,20.0,0.48,4.7,11.0,0.423,4.9,9.0,0.546,0.597,1.5,2.1,0.718,0.2,2.8,3.0,2.0,1.3,1.1,0.2,0.7,25.4
343,Jordan Smith\smithjo01,PG,29,HOU,46,30,23.9,0.2,0.5,0.4,0.1,0.3,0.44,0.1,0.2,0.49,0.5,1.0,1.1,0.871,1.6,6.2,7.8,2.7,1.0,0.3,0.2,2.5,1.5
344,Matisse Thomas\thomama01,SG,37,MIL,34,4,32.8,0.5,1.3,0.385,0.3,0.7,0.365,0.2,0.6,0.319,0.5,0.7,1.2,0.604,0.5,2.7,3.2,3.2,1.4,0.0,1.8,0.0,2.0
